Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 feeling optimistic about the week ahead           , Positive  , OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16
 starting a new fitness challenge tomorrow      , Positive  , FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8
 sunday bike ride through scenic trails           , Positive  , BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13
 cant believe the injustice happening in our society, Anger        , SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9
 feeling a sense of fear after watching a thriller movie , Fear         , ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21
 heartbroken after hearing the news about a natural disaster , Sadness      , EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14
 the state of the worlds environment is just disgusting , Disgust      , EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18
 pure happiness celebrating a loved ones achievement , Happiness    , ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10
 laughter is the best medicineenjoying a comedy show , Joy          , ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19
 sharing love and positive vibes with everyone       , Love         , LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8
 an amusing incident brightened up my day               , Amusement    , AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14
 enjoying a quiet evening with a book and some tea      , Enjoyment    , BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19
 admiring the beauty of nature during a peaceful hike   , Admiration   , NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11
 sending affectionate vibes to all my followers          , Affection    , AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16
 experiencing awe at the breathtaking sunset            , Awe          , AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20
 disappointed with the service at a local restaurant    , Disappointed , FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9
 a surprise gift from a friend made my day              , Surprise     , HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14
 finding acceptance in the midst of lifes challenges   , Acceptance   , AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18
 overflowing with adoration for my adorable pet       , Adoration    , PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10
 anticipating a thrilling adventure in the coming weeks , Anticipation , AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7
 a bitter experience turned into a valuable lesson      , Bitter       , LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15
 finding calmness in the midst of a busy day            , Calmness     , ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9
 confusion clouds my mind as i navigate through decisions, Confusion    , ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14
 excitement building up for the upcoming vacation       , Excitement   , VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18
 kindness witnessed today restored my faith in humanity , Kind         , KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11
 pride in achieving a personal milestone               , Pride        , PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16
 a moment of shame for not standing up against injustice , Shame        , ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19
 fuming with anger after a heated argument            , Anger        , AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9
 the fear of the unknown is keeping me up at night    , Fear         , FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21
 heartfelt sadness after bidding farewell to a dear friend , Sadness      , FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14
 the state of corruption in our society is utterly disgusting , Disgust      , AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18
 overflowing happiness welcoming a new family member  , Happiness    , NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10
 laughter is the key to joyattending a standup comedy show , Joy          , StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19
 sending love to all my followers on this beautiful day  , Love         , LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8
 amused by the antics of my petits pure amusement      , Amusement    , PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14
 enjoying every moment of this trippure enjoyment      , Enjoyment    , TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19
 admiring the dedication of volunteers at a local charity , Admiration   , CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11
 sending affectionate vibes to friends and family        , Affection    , FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16
 awestruck by the beauty of the night sky               , Awe          , Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20
 disappointed with the lack of progress in a personal project , Disappointed , ProjectStruggle , Twitter  , #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9
 a surprise visit from an old friend brought tears of joy , Surprise     , JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0, USA          ,2023,2,25,14
 embracing acceptance of lifes ups and downs           , Acceptance   , LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0, Canada     ,2023,2,25,18
 overflowing adoration for a cute rescue puppy        , Adoration    , PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10
 anticipating the release of a muchawaited movie       , Anticipation , MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20.0,40.0, Australia    ,2023,2,26,7
 bitter experience at the customer service department   , Bitter       , CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18.0,35.0, USA       ,2023,2,26,15
 finding calmness amidst the chaos of daily life        , Calmness     , CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15.0,30.0, India     ,2023,2,27,9
 confusion reigns as i try to make sense of recent events, Confusion    , ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25.0,50.0, UK   ,2023,2,27,14
 excitement building up for a surprise birthday party   , Excitement   , BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22.0,45.0, Canada ,2023,2,27,18
 witnessed an act of kindness that made my day          , Kind         , KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20.0,40.0, USA       ,2023,2,28,11
 pride in completing a challenging fitness challenge    , Pride        , FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30.0,60.0, UK            ,2023,2,28,16
 a moment of shame for not speaking up against injustice, Shame        , ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15.0,30.0, India     ,2023,2,28,19
 reflecting on the beauty of diversity in our world     , Acceptance   , DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22.0,45.0, Australia ,2023,3,1,10
 excitement for a quiet evening with a good book        , Excitement   , BookwormJoy     , Instagram , #Excitement #BookTime                       ,18.0,35.0, USA          ,2023,3,1,13
 feeling bitter about the unfairness in the workplace   , Bitter       , WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15.0,30.0, Canada    ,2023,3,1,17
 calmness prevails as i practice mindfulness            , Calmness     , MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15.0,30.0, UK        ,2023,3,2,18
 confusion surrounds me as i navigate through lifes choices , Confusion , ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30.0,60.0, USA   ,2023,3,2,13
 excitement for a weekend road trip to explore new places , Excitement , RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25.0,50.0, India     ,2023,3,2,16
 kindness witnessed today restores my faith in humanity  , Kind         , KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22.0,45.0, USA       ,2023,3,3,11
 pride in accomplishing personal and professional goals  , Pride        , GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12.0,25.0, Canada ,2023,3,3,14
 shame for not being true to my values in a difficult situation, Shame , ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15.0,30.0, UK        ,2023,3,3,12
 revisiting old memories feeling a sense of elation , Elation       , NostalgiaFan    , Twitter  , #Elation #Memories                             ,20.0,40.0, Canada    ,2010,5,15,15
 the victory of our team brought euphoria to the city , Euphoria      , SportsFanatic   , Instagram , #Euphoria #Victory                             ,15.0,30.0, USA      ,2021,8,10,21
 embracing the beauty of nature a moment of contentment , Contentment   , NatureLover2    , Facebook , #Contentment #Nature                           ,25.0,50.0, India       ,2011,6,20,14
 meditating by the serene lake finding inner peace   , Serenity      , ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18.0,35.0, UK          ,2022,2,12,18
 overflowing with gratitude for lifes blessings      , Gratitude     , ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30.0,60.0, Australia   ,2012,11,25,10
 hopeful for a brighter tomorrow despite challenges  , Hope          , OptimisticSoul  , Facebook , #Hope #Optimism                                ,22.0,45.0, USA      ,2013,4,5,19
 empowered to make a difference in my community        , Empowerment   , CommunityLeader , Twitter  , #Empowerment #Community                        ,15.0,30.0, UK       ,2014,9,14,8
 compassion in action supporting a local charity event , Compassion    , CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18.0,35.0, Canada ,2015,7,18,14
 a moment of tenderness connecting with loved ones    , Tenderness    , LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25.0,50.0, UK          ,2016,2,23,19
 arousal of excitement as i await a special announcement, Arousal       , ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20.0,40.0, Australia ,2017,10,30,11
 enthusiastically diving into a new project            , Enthusiasm    , ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15.0,30.0, USA  ,2018,6,15,16
 feeling a sense of fulfillment after reaching a milestone, Fulfillment  , MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22.0,45.0, India     ,2019,3,28,18
 reverence for the beauty of a historic landmark       , Reverence     , HistoryLover    , Twitter  , #Reverence #History                           ,18.0,35.0, UK      ,2019,11,11,15
 elation after a surprise reunion with old friends    , Elation       , JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25.0,50.0, Canada      ,2020,4,2,9
 the euphoria of a live music concert under the stars  , Euphoria      , MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15.0,30.0, USA ,2021,6,19,14
 contentment in the simplicity of a quiet sunday       , Contentment   , SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30.0,60.0, Australia ,2010,8,15,10
 serenity found in the pages of a favorite book        , Serenity      , BookLover3      , Instagram , #Serenity #BookTime                           ,22.0,45.0, UK          ,2011,9,22,19
 gratitude for the support received during tough times , Gratitude     , SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15.0,30.0, India     ,2012,3,10,8
 hopeful about the possibilities of a new journey      , Hope          , JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18.0,35.0, Canada    ,2013,12,5,16
 empowerment through learning and personal growth      , Empowerment   , GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25.0,50.0,USA,2014,7,20,11
 compassion towards those in need during the holidays  , Compassion    , HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18.0,35.0, USA      ,2015,12,22,14
 tenderness in the warmth of a cozy winter evening     , Tenderness    , WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25.0,50.0, UK       ,2016,2,10,19
 arousal of excitement for an upcoming adventure       , Arousal       , AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20.0,40.0, Australia ,2017,4,30,11
 enthusiasm for a creative project in the making       , Enthusiasm    , CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15.0,30.0, Canada    ,2018,9,15,16
 fulfillment in completing a challenging workout routine, Fulfillment  , FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22.0,45.0, India     ,2019,6,28,18
 reverence for the artistry displayed in a museum      , Reverence     , ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18.0,35.0, UK        ,2020,11,11,15
 elation after achieving a personal goal               , Elation       , GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25.0,50.0, USA      ,2021,3,2,9
 elation over discovering a hidden gem in the city   , Elation       , UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20.0,40.0, USA      ,2012,2,18,14
 the euphoria of a surprise birthday celebration     , Euphoria      , BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15.0,30.0, UK   ,2018,11,5,21
 contentment in the simplicity of a homecooked meal , Contentment   , HomeChef        , Facebook , #Contentment #HomeCooking                     ,25.0,50.0, India    ,2015,9,12,13
 serenity found in the melody of a peaceful piano    , Serenity      , MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18.0,35.0, Canada      ,2016,7,30,18
 gratitude for the supportive community around me    , Gratitude     , CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30.0,60.0, USA ,2013,4,20,10
 hopeful about the prospects of a new business venture, Hope          , EntrepreneurHope, Facebook , #Hope #BusinessVenture                        ,22.0,45.0, Canada    ,2017,12,8,19
 empowerment through mentoring and guiding others    , Empowerment   , MentorEmpower   , Twitter  , #Empowerment #Mentorship                      ,15.0,30.0, UK       ,2014,6,3,8
 compassion shown through acts of kindness in the community, Compassion, KindnessInAction, Instagram , #Compassion #CommunityKindness               ,18.0,35.0, Australia ,2019,1,15,14
 tenderness in a heartfelt message to a loved one    , Tenderness    , LoveExpress     , Facebook , #Tenderness #LoveNote                         ,25.0,50.0, UK          ,2016,12,25,19
 arousal of excitement before a muchawaited trip    , Arousal       , TravelExcitement, Twitter  , #Arousal #TravelAdventure                     ,20.0,40.0, India    ,2018,3,10,9
 enthusiasm for a new artistic project in the works  , Enthusiasm    , ArtisticSpirit  , Instagram , #Enthusiasm #ArtisticProject                 ,15.0,30.0, USA       ,2020,9,17,16
 feeling a sense of fulfillment after helping others , Fulfillment   , HelperHeart     , Facebook , #Fulfillment #HelpingOthers                  ,22.0,45.0, Canada    ,2011,8,28,18
 reverence for the historical significance of a landmark, Reverence , HistoryBuff     , Twitter  , #Reverence #HistoricalSite                   ,18.0,35.0, Australia ,2017,11,1,15
 elation after achieving a fitness milestone         , Elation       , FitnessAchiever2, Instagram , #Elation #FitnessMilestone                   ,25.0,50.0, UK           ,2019,6,15,10
 the euphoria of a successful product launch         , Euphoria      , ProductLaunchJoy, Facebook , #Euphoria #ProductLaunchSuccess              ,15.0,30.0, USA       ,2022,4,3,11
 contentment in the embrace of a loved one           , Contentment   , LovingEmbrace   , Twitter  , #Contentment #Love                             ,30.0,60.0, India    ,2010,11,12,20
 serenity found in the beauty of a sunset by the sea  , Serenity      , SunsetWatcher2  , Instagram , #Serenity #SunsetViews                       ,22.0,45.0, Canada     ,2011,7,22,18
 gratitude for the small joys that each day brings   , Gratitude     , JoyfulHeart2    , Facebook , #Gratitude #SmallJoys                        ,15.0,30.0, Australia   ,2012,3,30,11
 hopeful about the potential for personal growth      , Hope          , GrowthOptimist  , Twitter  , #Hope #PersonalDevelopment                    ,18.0,35.0, UK       ,2013,10,5,16
 empowerment through learning a new skill            , Empowerment   , SkillEmpower    , Instagram , #Empowerment #SkillBuilding                   ,25.0,50.0, India   ,2014,7,10,13
 compassion in volunteering for a local charity       , Compassion    , CharityVolunteer, Facebook , #Compassion #VolunteerWork                   ,18.0,35.0, USA      ,2015,12,18,14
 tenderness in a quiet moment shared with a pet      , Tenderness    , PetLove         , Twitter  , #Tenderness #PetLove                          ,25.0,50.0, Canada   ,2016,2,10,19
 arousal of excitement for an upcoming festival       , Arousal       , FestivalFan     , Instagram , #Arousal #FestivalExcitement               ,20.0,40.0, UK ,2017,9,25,11
 enthusiasm for a diy home improvement project       , Enthusiasm    , DIYEnthusiast   , Facebook , #Enthusiasm #HomeImprovement                 ,15.0,30.0, Australia   ,2018,4,15,16
 fulfillment in completing a challenging puzzle      , Fulfillment   , PuzzleMaster    , Twitter  , #Fulfillment #PuzzleChallenge                ,22.0,45.0, India    ,2019,11,28,18
 reverence for the wonders of nature on a hiking trail, Reverence , NatureAdmirer   , Instagram , #Reverence #NatureExploration                ,18.0,35.0, USA        ,2020,5,11,15
 elation after a surprise reunion with a childhood friend, Elation   , ChildhoodJoy    , Facebook , #Elation #FriendshipReunion                  ,25.0,50.0, Canada      ,2021,2,5,9
 suffering from despair after another setback      , Despair         , StrugglingSoul    , Twitter  , #Despair #Struggle                              ,5.0,10.0, USA          ,2021,3,10,8
 overwhelmed by grief missing a loved one dearly  , Grief           , MourningHeart     , Instagram , #Grief #Loss                                   ,8.0,15.0, Canada          ,2022,7,5,15
 loneliness creeps in as the night grows colder    , Loneliness      , SolitarySoul      , Facebook , #Loneliness #Isolation                         ,10.0,20.0, UK           ,2019,11,18,21
 jealousy consumes me as i witness others success , Jealousy        , EnviousObserver   , Twitter  , #Jealousy #Envy                               ,12.0,25.0, India        ,2020,8,12,11
 resentment building up over past betrayals        , Resentment      , BitterHeart       , Instagram , #Resentment #Bitterness                       ,7.0,15.0, Australia     ,2018,5,22,14
 frustration mounts as obstacles block my path     , Frustration     , BlockedGoals      , Facebook , #Frustration #Obstacles                       ,10.0,20.0, USA          ,2017,1,30,16
 boredom sets in the day feels endlessly dull     , Boredom         , BoredMind         , Twitter  , #Boredom #LackOfInterest                     ,8.0,15.0, Canada        ,2016,9,28,19
 anxiety grips my heart worry clouds my thoughts  , Anxiety         , WorriedMind       , Instagram , #Anxiety #Worry                               ,12.0,25.0, UK           ,2019,4,15,9
 intimidation by the unknown future ahead          , Intimidation    , FearfulSoul       , Facebook , #Intimidation #Fear                           ,15.0,30.0, India        ,2021,12,3,18
 helplessness sinks in as challenges pile up       , Helplessness    , OverwhelmedHeart  , Twitter  , #Helplessness #Overwhelmed                    ,8.0,15.0, Australia    ,2020,6,20,14
 envy eats away at me as i see others prosperity  , Envy            , CovetousMind     , Instagram , #Envy #Desire                                ,10.0,20.0, Canada        ,2018,11,7,11
 regret over missed opportunities haunts my thoughts, Regret         , RemorsefulSoul   , Facebook , #Regret #MissedChances                       ,12.0,25.0, UK           ,2017,8,25,16
 disgust at the sight of injustice and cruelty     , Disgust         , DisgustedHeart   , Twitter  , #Disgust #Injustice                          ,7.0,15.0, India        ,2019,2,11,9
 drowning in despair hope slipping through my fingers, Despair      , HopelessHeart    , Instagram , #Despair #Hopeless                           ,10.0,20.0, USA          ,2016,4,2,20
 grief weighs heavy tears a constant companion    , Grief           , TearfulSoul      , Facebook , #Grief #Tears                                ,12.0,25.0, Canada        ,2015,10,18,15
 loneliness in a crowded room a silent cry for connection, Loneliness , IsolatedMind     , Twitter  , #Loneliness #SeekingConnection              ,15.0,30.0, UK            ,2019,7,12,18
 jealousy gnaws at my confidence a toxic emotion  , Jealousy        , SelfDoubt        , Instagram , #Jealousy #Insecurity                       ,8.0,15.0, India         ,2018,6,3,16
 resentment festers poisoning relationships       , Resentment      , BrokenTrust      , Facebook , #Resentment #BrokenTrust                     ,10.0,20.0, Australia    ,2022,1,15,12
 frustration boils over a volcanic eruption of emotions, Frustration , ExplosiveMind    , Twitter  , #Frustration #EmotionalOutburst             ,12.0,25.0, USA          ,2017,4,10,14
 boredom settles like dust life feels mundane     , Boredom         , MundaneHeart     , Instagram , #Boredom #Monotony                          ,7.0,15.0, Canada        ,2016,11,28,19
 anxiety grips my chest a relentless grip on my thoughts, Anxiety   , RestlessMind     , Facebook , #Anxiety #Restlessness                      ,10.0,20.0, UK            ,2018,9,5,9
 intimidation by the challenges ahead fear takes hold, Intimidation , FearfulJourney   , Twitter  , #Intimidation #FacingFear                   ,15.0,30.0, India         ,2021,10,22,18
 helplessness engulfs me drowning in a sea of problems, Helplessness , OverwhelmedSoul  , Instagram , #Helplessness #Struggling                   ,8.0,15.0, Australia    ,2019,5,8,14
 envy poisons my thoughts coveting others success, Envy            , GreenEyedMonster , Facebook , #Envy #Success                              ,10.0,20.0, Canada        ,2017,3,20,11
