Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Clean_Text
 exploring local art galleries this weekend        ,Positive, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,exploring local art gallery weekend
 new book release from my favorite author          ,Positive, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,new book release favorite author
 attending a virtual reality meetup                ,Positive, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,attending virtual reality meetup
 reflecting on the beauty of nature                ,Positive, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,reflecting beauty nature
 cooking a special dinner for loved ones           ,Positive, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,cooking special dinner loved one
 feeling optimistic about the week ahead           ,Positive, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,feeling optimistic week ahead
 starting a new fitness challenge tomorrow      ,Positive, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,starting new fitness challenge tomorrow
 sunday bike ride through scenic trails           ,Positive, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,sunday bike ride scenic trail
convinced the teacher to have class outdoors learning equations with a side of fresh air ,Positive, OutdoorClassHighSchool , Facebook , #OutdoorClassroom #HighSchoolExplorer ,28.0,55.0, USA,2023,8,6,14,convinced teacher class outdoors learning equation side fresh air
trying out a new study technique for upcoming exams exploring different learning strategies ,Neutral, StudyTechniqueExperimentHighSchool , Instagram , #StudyStrategies #HighSchoolExams ,23.0,42.0, USA,2023,10,2,16,trying new study technique upcoming exam exploring different learning strategy
organizing a community cleanup event for a cleaner neighborhood promoting environmental awareness ,Neutral, CommunityCleanupHighSchool , Twitter , #EnvironmentalEfforts #HighSchoolCommunity ,26.0,50.0, Canada,2023,10,3,12,organizing community cleanup event cleaner neighborhood promoting environmental awareness
sharing favorite book recommendations with classmates building a mini book club ,Neutral, BookRecommendationsHighSchool , Facebook , #BookClub #HighSchoolReads ,19.0,38.0, UK,2023,10,4,18,sharing favorite book recommendation classmate building mini book club
experimenting with a new recipe for a school bake sale baking adventures in the kitchen ,Neutral, BakeSaleRecipeExperimentHighSchool , Instagram , #BakingAdventures #HighSchoolBakes ,21.0,43.0, USA,2023,10,5,14,experimenting new recipe school bake sale baking adventure kitchen
collaborating on a school project with peers teamwork makes the dream work ,Neutral, SchoolProjectCollaborationHighSchool , Twitter , #Teamwork #HighSchoolProjects ,18.0,36.0, Canada,2023,10,6,17,collaborating school project peer teamwork make dream work
attending a school club meeting to explore new interests dabbling in extracurricular activities ,Neutral, ExtracurricularExplorationHighSchool , Instagram , #SchoolClubs #HighSchoolInterests ,22.0,45.0, UK,2023,10,7,20,attending school club meeting explore new interest dabbling extracurricular activity
exploring a new parttime job opportunity for gaining work experience career development in progress ,Neutral, PartTimeJobExplorationHighSchool , Facebook , #CareerDevelopment #HighSchoolJobs ,24.0,48.0, USA,2023,10,8,15,exploring new parttime job opportunity gaining work experience career development progress
attending a school assembly to stay informed about upcoming events and announcements staying connected with school activities ,Neutral, SchoolAssemblyParticipationHighSchool , Twitter , #SchoolEvents #HighSchoolConnectivity ,20.0,40.0, Canada,2023,10,9,22,attending school assembly stay informed upcoming event announcement staying connected school activity
exploring a new hobby of photography during free time capturing moments through a lens ,Neutral, PhotographyHobbyHighSchool , Instagram , #PhotographyJourney #HighSchoolHobbies ,25.0,49.0, UK,2023,10,10,14,exploring new hobby photography free time capturing moment lens
participating in a science fair to showcase a unique experiment sharing knowledge with peers ,Neutral, ScienceFairParticipationHighSchool , Facebook , #ScienceFair #HighSchoolScience ,19.0,37.0, USA,2023,10,11,16,participating science fair showcase unique experiment sharing knowledge peer
attending a workshop on time management to enhance organizational skills striving for efficiency ,Neutral, TimeManagementWorkshopHighSchool , Twitter , #EfficiencyGoals #HighSchoolSkills ,23.0,44.0, Canada,2023,10,12,18,attending workshop time management enhance organizational skill striving efficiency
volunteering at a local charity event to give back to the community contributing to social causes ,Neutral, CharityEventVolunteerHighSchool , Instagram , #CommunityService #HighSchoolVolunteer ,20.0,39.0, UK,2023,10,13,12,volunteering local charity event give back community contributing social cause
collaborating on a group project to promote teamwork and shared responsibilities group effort in action ,Neutral, GroupProjectCollaborationHighSchool , Facebook , #TeamSpirit #HighSchoolProjects ,18.0,35.0, USA,2023,10,14,17,collaborating group project promote teamwork shared responsibility group effort action
participating in a debate club to enhance critical thinking and communication skills intellectual engagement in progress ,Neutral, DebateClubParticipationHighSchool , Twitter , #DebateSkills #HighSchoolIntellect ,22.0,43.0, Canada,2023,10,15,20,participating debate club enhance critical thinking communication skill intellectual engagement progress
